Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
BEYOND / HELLO - Alexandria (Delivery Menu),Accessories,Lighter,Disposable,,Other,Bic,Bic - Lighters,,4/1/2026,67.92438352,29.51739361,3,2.469230769,2.301164677,,
BEYOND / HELLO - Alexandria (Delivery Menu),Accessories,Other,,,Jushi,SeCHe,SeCHe - Other,,4/1/2026,123.4641761,17.40769367,10,8,7.092506247,,
BEYOND / HELLO - Alexandria (Delivery Menu),Accessories,Other,,,Other,Beyond Hello,Beyond Hello - Other,,4/1/2026,41.17661619,10.59598745,5.5,4.4,3.886057471,,
BEYOND / HELLO - Alexandria (Delivery Menu),Accessories,Other,,,Other,Generic,Generic - Other,,4/1/2026,18.16454991,1.513712493,12,,12,,
BEYOND / HELLO - Alexandria (Delivery Menu),Accessories,Other,,,Other,Tim Molloy,Tim Molloy - Other,,4/1/2026,22.06593786,2.270568739,12,9.6,9.718242606,,
BEYOND / HELLO - Alexandria (Delivery Menu),Devices,Grinder,,,Jushi,SeCHe,SeCHe - Grinder,,4/1/2026,186.0576353,42.3839498,5.5,4.5575,4.389813507,,
BEYOND / HELLO - Alexandria (Delivery Menu),Devices,Grinder,,,Other,Beyond Hello,Beyond Hello - Grinder,,4/1/2026,70.3308316,6.054849971,14,11.9,11.6156192,,
BEYOND / HELLO - Alexandria (Delivery Menu),Devices,Pipe,Chillum,,Other,Beyond Hello,Beyond Hello - Chillum,,4/1/2026,82.58108214,13.62341244,10,8.25,6.061703153,,
BEYOND / HELLO - Alexandria (Delivery Menu),Devices,Pipe,Other,,Luv Buds,Luv Buds,Luv Buds - Pipe,,4/1/2026,24.03878668,5.297993725,5,,4.537337703,,
BEYOND / HELLO - Alexandria (Delivery Menu),Devices,Rolling Papers,,,Other,Bangerooo,Bangerooo - Rolling Papers,,4/1/2026,8.127262586,2.270568739,4.5,3.82,3.579395086,,
