Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
Barboursville Cannabis Company (Barboursville),Accessories,Other,,,Other,Generic,Generic - Other,,4/1/2026,3.029855454,1.209136984,3.74,,2.5058,,
Barboursville Cannabis Company (Barboursville),Devices,Other,,,Other,Yocan,Yocan - Unspecified Hard Good,,4/1/2026,39.08798086,2.418273968,18.69,,16.16358666,,
Barboursville Cannabis Company (Barboursville),Devices,Vaporizers,Pen/ Hand Held,Rechargeable Battery,Other,Generic,Generic - Rechargeable Battery,,4/1/2026,33.90420103,2.418273968,14.02,,14.02,,
Barboursville Cannabis Company (Barboursville),Devices,Vaporizers,Pen/ Hand Held,Rechargeable Battery,Other,Lookah,Lookah - Vape Pen - Seahorse,,4/1/2026,51.41349128,1.209136984,46.73,,42.52081605,,
Barboursville Cannabis Company (Barboursville),Devices,Vaporizers,Pen/ Hand Held,Rechargeable Battery,Other,Ooze,Ooze - Slim Twist Vape Pen,,4/1/2026,53.35629413,3.627410952,18.69,,14.70919475,,
Barboursville Cannabis Company (Barboursville),Devices,Vaporizers,Pen/ Hand Held,Rechargeable Battery,Other,Yocan,Yocan - EXgo W2 Kit,,4/1/2026,141.2513825,6.045684919,23.364,,23.36400001,,
Barboursville Cannabis Company (Barboursville),Devices,Vaporizers,Pen/ Hand Held,Replacement Parts and Accessories,Other,Yocan,Yocan - Accessories,,4/1/2026,24.87637153,1.209136984,23.37,,20.57365862,,
Barboursville Cannabis Company (Barboursville),Devices,Water Pipe,Oil/ Hash Dab Rig,Accessory,Other,Generic,Generic - Accessory,,4/1/2026,389.8620377,2.418273968,161.215,,161.215,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,AltSol,"AltSol - Distillate - Tablet - 10 Count, 100mg THC",100mg THC,4/1/2026,137.1883317,4.836547936,40,,28.36492753,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,Rx Pharma,"Rx Pharma - Dissolvable - Distillate - Tablet - 10 Count, 50mg THC",50mg THC,4/1/2026,117.4014555,2.418273968,60,,48.54762407,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,Rx Pharma,"Rx Pharma - Dissolvable - Distillate - Tablet - 2 Count, 20mg THC",20mg THC,4/1/2026,67.69077243,8.463958887,22.85714286,,7.997530864,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,Rx Pharma,"Rx Pharma - Oral - Distillate - Tablet - 1 Count, 10mg THC",10mg THC,4/1/2026,60.50832001,4.836547936,21.25,,12.51064206,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,Rx Pharma,"Rx Pharma - Oral - Distillate - Tablet - 10 Count, 100mg THC",100mg THC,4/1/2026,218.3254802,3.627410952,110,,60.18768843,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Other,Rx Pharma,"Rx Pharma - Oral - Distillate - Tablet - 10 Count, 50mg THC",50mg THC,4/1/2026,169.0322971,3.627410952,60,,46.59860692,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Verano,Avexia,"Avexia - Distillate - Tablet - 20 Count, 200mg THC",200mg THC,4/1/2026,144.971522,3.627410952,50,40,39.9655633,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Verano,Avexia,"Avexia - Distillate - Tablet - 40 Count, 100mg THC, 100mg CBG","100mg THC, 100mg CBG",4/1/2026,125.6635032,6.045684919,30,24,20.78565206,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Verano,Avexia,"Avexia - Distillate - Tablet - 40 Count, 100mg THC, 400mg CBD","100mg THC, 400mg CBD",4/1/2026,92.13256257,4.836547936,30,24,19.04924003,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Verano,Avexia,"Avexia - RSO Tablet - 1:1 - Harmony, 40 Count, 100mg THC, 100mg CBD","100mg THC, 100mg CBD",4/1/2026,26.47274558,1.209136984,30,24,21.89391767,,
Barboursville Cannabis Company (Barboursville),Edibles,Pills,Tablet,,Verano,Avexia,"Avexia - RSO Tablet - 1:1:1 - Comfort, 100mg CBN, 40 Count, 100mg THC, 100mg CBD","100mg THC, 100mg CBD, 100mg CBN",4/1/2026,98.30631205,4.836547936,30,24,20.32571854,,
Barboursville Cannabis Company (Barboursville),Extracts,Oil,RSO,,Verano,Avexia,Avexia - Fresh Powder - RSO (1g),1g,4/1/2026,43.03356265,1.209136984,60,,35.59031211,,
Barboursville Cannabis Company (Barboursville),Extracts,Oil,RSO,,Verano,Avexia,Avexia - G Purps - RSO (0.5g),0.5g,4/1/2026,55.13197774,2.418273968,35,28,22.7980694,,
Barboursville Cannabis Company (Barboursville),Extracts,Oil,RSO,,Verano,Avexia,Avexia - Purpentine - RSO (0.5g),0.5g,4/1/2026,80.83127817,3.627410952,30,24,22.28346312,,
Barboursville Cannabis Company (Barboursville),Extracts,Oil,RSO,,Verano,Avexia,Avexia - Space Mints - RSO (0.5g),0.5g,4/1/2026,52.70183236,2.418273968,35,,21.79316035,,
Barboursville Cannabis Company (Barboursville),Extracts,Oil,RSO,,Verano,Avexia,Avexia - Space Mints - RSO (1g),1g,4/1/2026,146.6844531,3.627410952,60,48,40.43778194,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Chemmy Jones - Badder - (1g),1g,4/1/2026,106.7885776,3.627410952,45,,29.43933814,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Donny Burger - Badder - (1g),1g,4/1/2026,84.11741878,2.418273968,45,,34.78407322,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Gush Mints - Badder - (1g),1g,4/1/2026,136.2634255,4.836547936,45,,28.17369481,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Kept Secret - Badder - (1g),1g,4/1/2026,77.52204185,2.418273968,45,,32.05676564,,
